Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Sncaip,EndoC,1.005720231,1.51E-26
Sgce,EndoC,0.925272526,1.90E-26
Rev1,EndoC,0.798075546,3.30E-26
Ltbp3,EndoC,1.643925547,3.53E-26
Dbp,EndoC,0.933180699,3.65E-26
Sox5os2,EndoC,4.814053721,4.12E-26
Klhl4,EndoC,0.789976995,4.30E-26
Acot6,EndoC,3.314196404,4.72E-26
Gm14964,EndoC,2.456540946,5.02E-26
Lrp4,EndoC,2.483703755,6.60E-26
Prkaa2,EndoC,1.531608552,9.91E-26
Pde5a,EndoC,1.867707259,1.08E-25
Stc2,EndoC,2.822012554,1.59E-25
Tspan6,EndoC,1.442938555,1.63E-25
Sema5a,EndoC,2.731234545,1.80E-25
Pcsk5,EndoC,0.68854204,2.23E-25
Tmpo,EndoC,0.830055248,2.36E-25
P3h3,EndoC,1.84157042,2.75E-25
Lrrc1,EndoC,1.336982679,2.96E-25
4921504A21Rik,EndoC,3.331463976,3.24E-25
Creb3l2,EndoC,0.850784687,3.30E-25
Ptk2b,EndoC,2.345523145,4.55E-25
Tcaf1,EndoC,1.094363466,4.97E-25
Fgfr1,EndoC,1.237425103,5.45E-25
Dmd,EndoC,1.096659205,5.79E-25
Camkk2,EndoC,1.224609059,5.92E-25
Rasef,EndoC,3.546158478,8.14E-25
Bcr,EndoC,0.923230073,1.75E-24
Etv1,EndoC,1.67590436,1.88E-24
Sfxn1,EndoC,1.540478763,2.20E-24
Ntn4,EndoC,1.722234585,2.22E-24
Cd63,EndoC,0.969571814,2.49E-24
Tfdp2,EndoC,1.034455839,2.77E-24
Tagln2,EndoC,0.733056905,3.81E-24
Slc35b3,EndoC,1.154349217,4.10E-24
Itsn1,EndoC,1.079691469,4.41E-24
G0s2,EndoC,1.622114101,4.86E-24
Dnajc10,EndoC,0.985889256,5.07E-24
Lmo2,EndoC,1.12789933,5.27E-24
Hsph1,EndoC,0.939545058,5.99E-24
Ftx,EndoC,1.253840925,6.45E-24
Phc1,EndoC,1.947474572,6.66E-24
Grik5,EndoC,2.058918773,7.12E-24
Layn,EndoC,1.446534209,7.33E-24
Sertad4,EndoC,1.756045813,7.39E-24
Stxbp6,EndoC,0.579016144,8.82E-24
Scarb2,EndoC,1.089428123,1.02E-23
Itga9,EndoC,0.873397037,1.10E-23
Slco1c1,EndoC,5.200517789,1.36E-23
Kcnq1ot1,EndoC,0.781356146,1.65E-23
Gcnt3,EndoC,8.466318195,1.80E-23
Vit,EndoC,3.226189898,2.28E-23
Arhgap6,EndoC,0.71241109,2.28E-23
Nt5e,EndoC,1.409691264,2.49E-23
Hs3st3b1,EndoC,2.461235267,3.34E-23
Map7,EndoC,1.79875718,3.78E-23
Gm11149,EndoC,5.568396296,4.22E-23
Ctnnal1,EndoC,1.281317326,4.97E-23
Ngf,EndoC,2.649536466,5.31E-23
Jpt1,EndoC,0.974959483,7.34E-23
Atxn10,EndoC,0.932554735,7.59E-23
Rassf10,EndoC,1.807887375,8.18E-23
Smad3,EndoC,1.201042766,1.03E-22
Shroom2,EndoC,1.113877089,1.35E-22
Zfr,EndoC,0.725801131,1.65E-22
Unc13d,EndoC,3.395340214,1.95E-22
Aff1,EndoC,0.778272795,2.09E-22
Hexa,EndoC,1.089756603,2.24E-22
Gli3,EndoC,1.365162822,2.24E-22
Gal3st2b,EndoC,3.295127197,2.51E-22
Evc,EndoC,2.964013972,2.57E-22
Ccnd2,EndoC,0.779457906,2.99E-22
Ptgs2os,EndoC,5.169662316,3.38E-22
Rsu1,EndoC,0.71325373,6.14E-22
Ifitm2,EndoC,0.701941363,8.62E-22
Fnbp1,EndoC,0.854522375,9.22E-22
Gls,EndoC,0.742542693,1.25E-21
Mbnl1,EndoC,0.638795128,1.68E-21
Gm17216,EndoC,3.517283515,1.92E-21
Gm5144,EndoC,5.58490313,1.98E-21
Aldh2,EndoC,0.717095731,2.09E-21
Man2a1,EndoC,0.950222495,2.12E-21
Dennd5b,EndoC,0.629362141,2.46E-21
Shf,EndoC,1.492674532,2.71E-21
Itga3,EndoC,1.500382712,2.98E-21
Cd302,EndoC,1.501358209,4.07E-21
Fam118b,EndoC,1.106606526,6.76E-21
Gstt1,EndoC,1.833740424,8.83E-21
Scara3,EndoC,2.6771131,1.00E-20
Ism1,EndoC,2.095880891,1.27E-20
Bicd1,EndoC,1.550901196,2.00E-20
Ggact,EndoC,1.885254888,2.16E-20
Tsc22d2,EndoC,0.880336304,2.33E-20
Smad7,EndoC,0.694501654,2.84E-20
Aph1b,EndoC,1.78324905,3.02E-20
Clic1,EndoC,0.74040401,3.13E-20
Trf,EndoC,1.938035296,3.38E-20
Hif3a,EndoC,2.17050556,4.41E-20
Lrrc42,EndoC,1.66389488,4.46E-20
Wnt2,EndoC,2.747139357,5.67E-20
Mroh7,EndoC,4.541876314,6.13E-20
Serping1,EndoC,0.950607805,7.10E-20
Lrpap1,EndoC,0.952701243,8.90E-20
Ptn,EndoC,2.255780276,9.96E-20
Fat1,EndoC,2.239181181,1.00E-19
Hacd3,EndoC,1.246529529,1.16E-19
Gm20655,EndoC,2.184971687,1.33E-19
1110051M20Rik,EndoC,1.63948336,1.57E-19
Tmtc4,EndoC,1.689182574,1.71E-19
Abhd8,EndoC,1.777958776,1.86E-19
Zfp462,EndoC,0.7111864,2.36E-19
Adamts10,EndoC,0.924953329,3.06E-19
Hspa5,EndoC,0.671327578,3.09E-19
Pgrmc1,EndoC,0.913063089,3.44E-19
Zc2hc1a,EndoC,0.8279565,3.47E-19
Pacsin2,EndoC,0.690832151,4.49E-19
Maged1,EndoC,1.011681944,6.17E-19
Tppp,EndoC,1.454228058,8.13E-19
Cadps2,EndoC,1.094593241,8.67E-19
Calcrl,EndoC,0.971563635,9.25E-19
Olfml3,EndoC,1.197601586,9.32E-19
Tbkbp1,EndoC,1.006864619,1.12E-18
Psd3,EndoC,0.583220128,1.15E-18
Lifr,EndoC,0.867581148,1.21E-18
Plcd3,EndoC,1.472093294,1.48E-18
Bcam,EndoC,0.694603488,1.54E-18
Ednrb,EndoC,1.179555814,1.66E-18
Bsg,EndoC,0.56482438,1.72E-18
Acaca,EndoC,0.976393271,1.82E-18
Insr,EndoC,0.983055944,2.00E-18
Tmcc3,EndoC,0.768893338,2.82E-18
Pkdcc,EndoC,1.715383414,3.08E-18
Capn5,EndoC,2.187335744,3.34E-18
Adamtsl4,EndoC,1.867009439,3.58E-18
Rrbp1,EndoC,0.635892226,3.96E-18
Ppp1r9a,EndoC,2.104295319,4.76E-18
Txnrd3,EndoC,1.589253139,5.79E-18
Nfib,EndoC,0.40262715,6.16E-18
Elovl7,EndoC,2.64515927,6.48E-18
Gramd1c,EndoC,2.550105244,6.67E-18
Adamts1,EndoC,0.692612936,1.03E-17
Tinagl1,EndoC,0.765152624,1.27E-17
Zfp872,EndoC,7.836304212,1.27E-17
Gm50130,EndoC,7.711504631,1.27E-17
Gsn,EndoC,0.412151378,1.28E-17
A730081D07Rik,EndoC,0.875720049,1.57E-17
Casp12,EndoC,1.314226074,1.64E-17
Pla2g7,EndoC,1.912604569,1.79E-17
C430014B12Rik,EndoC,3.208770807,1.87E-17
Paqr7,EndoC,2.46413371,2.04E-17
Dync1i1,EndoC,2.519986744,2.05E-17
Fam107a,EndoC,1.165648602,2.12E-17
Mcu,EndoC,0.587209,2.31E-17
Ptpru,EndoC,1.696447567,2.31E-17
Dock6,EndoC,0.617606437,2.43E-17
Pon3,EndoC,1.195081723,3.26E-17
Bmp6,EndoC,1.118589461,3.72E-17
Dhrs7,EndoC,1.006850877,3.88E-17
Morrbid,EndoC,1.035486898,4.06E-17
Amotl2,EndoC,0.850276318,4.10E-17
Vav2,EndoC,1.673753455,4.37E-17
Gm4951,EndoC,1.206055317,4.52E-17
Ninj1,EndoC,1.043899448,4.61E-17
Glis2,EndoC,1.467390861,4.63E-17
Trim59,EndoC,2.029764313,4.89E-17
Cerkl,EndoC,3.025147307,4.91E-17
Zmynd15,EndoC,1.52892271,5.20E-17
Sort1,EndoC,1.407460853,6.30E-17
Itpr2,EndoC,0.605283522,6.46E-17
Notch2,EndoC,1.140558909,7.60E-17
Usp54,EndoC,1.078919365,8.18E-17
Parm1,EndoC,1.445783858,9.05E-17
Atp6v0e2,EndoC,1.934889099,9.57E-17
Sntb2,EndoC,0.578442395,9.73E-17
Rnd2,EndoC,2.787908123,1.02E-16
Sorbs3,EndoC,0.840718104,1.04E-16
Cpd,EndoC,0.672934256,1.17E-16
Csrp2,EndoC,0.920398857,1.44E-16
Trabd2b,EndoC,1.840965621,1.49E-16
Ccdc141,EndoC,1.849278459,1.95E-16
Cyp20a1,EndoC,1.073804204,2.06E-16
Tspan2,EndoC,1.040549361,2.33E-16
Calm2,EndoC,0.650915833,2.45E-16
Nucb1,EndoC,0.779230549,2.54E-16
Ndst1,EndoC,0.911911989,2.72E-16
Stc1,EndoC,1.445909735,3.30E-16
Tgfbr1,EndoC,0.726231116,3.83E-16
Sgcb,EndoC,1.0801359,4.26E-16
Otud1,EndoC,1.586722297,4.98E-16
Airn,EndoC,0.57889703,5.46E-16
Gm48898,EndoC,6.242338145,6.07E-16
Gm43101,EndoC,6.410390627,6.13E-16
Ctdspl,EndoC,0.847029879,7.01E-16
Tnfsf12,EndoC,0.986124999,7.14E-16
Ankdd1b,EndoC,1.984086798,7.17E-16
Ryk,EndoC,0.675476165,7.37E-16
Pdgfrb,EndoC,1.539427328,7.61E-16
Cd93,EndoC,0.669637535,7.71E-16
Abat,EndoC,2.20682791,8.24E-16
Klhl5,EndoC,0.727698177,8.34E-16
Azin1,EndoC,0.599103925,8.72E-16
Cox16,EndoC,0.672722745,9.85E-16
Arl4d,EndoC,1.135566257,9.89E-16
Tlcd2,EndoC,1.917837989,1.12E-15
Zyx,EndoC,0.809984447,1.14E-15
Slc25a37,EndoC,0.892680603,1.35E-15
Gspt2,EndoC,4.088603942,1.35E-15
Tdrkh,EndoC,2.045226633,1.42E-15
Apoc1,EndoC,3.708552986,1.44E-15
B4galt1,EndoC,0.822731808,1.51E-15
Itm2c,EndoC,0.811489628,1.56E-15
Mindy2,EndoC,0.708050218,1.86E-15
Gtf2a2,EndoC,0.766408355,1.90E-15
Pdia3,EndoC,0.585018392,1.98E-15
Mir100hg,EndoC,1.086835679,2.20E-15
Upp2,EndoC,0.898380516,2.57E-15
N4bp2,EndoC,1.158149158,2.82E-15
Smagp,EndoC,0.830577604,2.92E-15
Ankrd46,EndoC,1.121399283,2.96E-15
Sec24d,EndoC,0.877640829,3.42E-15
Vamp5,EndoC,0.643269804,3.55E-15
Ddr1,EndoC,2.155670221,3.58E-15
A330069K06Rik,EndoC,3.578664224,3.62E-15
Csgalnact1,EndoC,0.615439995,3.85E-15
Wwp1,EndoC,0.701995058,4.60E-15
Grina,EndoC,0.845608348,4.90E-15
Lysmd2,EndoC,0.999945624,5.25E-15
Smim1,EndoC,2.1529048,5.32E-15
Lrrc75a,EndoC,1.903084137,5.35E-15
Ski,EndoC,0.575016598,5.41E-15
Taok3,EndoC,0.641076135,5.59E-15
Trim65,EndoC,1.068643127,5.83E-15
Adgrl1,EndoC,1.03722914,6.22E-15
AI838599,EndoC,2.337085813,9.05E-15
Raph1,EndoC,0.761482068,9.37E-15
Frmpd2,EndoC,5.815875161,1.12E-14
Nova1,EndoC,2.756682811,1.15E-14
Tuba1b,EndoC,0.669475458,1.15E-14
Aff2,EndoC,2.843049431,1.41E-14
P2rx4,EndoC,1.185884245,1.54E-14
Strbp,EndoC,0.689709492,1.69E-14
Ptpn9,EndoC,0.771549284,1.72E-14
Cd59a,EndoC,0.558515513,1.95E-14
Wdr35,EndoC,2.26369461,2.13E-14
Maged2,EndoC,1.532725554,2.16E-14
Anxa2,EndoC,0.542155828,2.23E-14
Ptms,EndoC,0.614189654,2.29E-14
S100a11,EndoC,0.593482108,2.42E-14
Fam162a,EndoC,0.71112219,2.44E-14
Neo1,EndoC,0.94820319,2.46E-14
Islr,EndoC,1.503679544,2.67E-14
Chn1,EndoC,1.232702861,2.77E-14
Fxyd5,EndoC,0.920661659,2.97E-14
Cd55,EndoC,1.081487999,3.06E-14
Rcn1,EndoC,1.003973327,3.08E-14
Emb,EndoC,2.745114497,3.20E-14
Zfhx2,EndoC,1.260439439,3.21E-14
Dixdc1,EndoC,2.538101335,3.41E-14
Smg6,EndoC,0.636366136,3.70E-14
Eef1a1,EndoC,0.428816104,4.63E-14
Nsmaf,EndoC,0.756889157,4.69E-14
Zfp612,EndoC,2.941272224,4.88E-14
Rfx2,EndoC,1.677763106,5.43E-14
Xrcc5,EndoC,1.743608303,5.46E-14
Lmna,EndoC,0.82966341,6.10E-14
Gm15587,EndoC,1.404791806,7.79E-14
Per3,EndoC,0.611305079,7.86E-14
Golm1,EndoC,1.107649412,8.48E-14
Rpn2,EndoC,0.738909017,8.65E-14
Yap1,EndoC,0.683344882,8.68E-14
Epb41l4b,EndoC,3.917423397,9.47E-14
Lncpint,EndoC,0.454434222,9.58E-14
Nr1h3,EndoC,1.711828407,1.02E-13
Fam114a1,EndoC,0.849278275,1.06E-13
Ptprj,EndoC,0.588089324,1.11E-13
Oaf,EndoC,1.66896082,1.15E-13
Gm30524,EndoC,3.28475875,1.16E-13
Lbh,EndoC,0.775221767,1.40E-13
Glis3,EndoC,1.744663742,1.41E-13
Sdc1,EndoC,1.691309609,1.63E-13
Psen2,EndoC,1.192359877,1.72E-13
Fam3c,EndoC,0.84878326,1.88E-13
Gaa,EndoC,1.104769511,2.03E-13
Nckap5,EndoC,2.709801242,2.30E-13
Dcbld2,EndoC,0.76200772,2.36E-13
Abtb2,EndoC,1.29736603,2.92E-13
Rdh5,EndoC,1.475415639,2.97E-13
Clec2d,EndoC,0.800140955,3.04E-13
Btg1,EndoC,0.666430864,3.09E-13
Klf15,EndoC,1.631106484,3.77E-13
Usp3,EndoC,0.64435867,3.95E-13
Hsp90b1,EndoC,0.545378976,4.11E-13
Tmem64,EndoC,0.808763939,4.48E-13
Slc39a8,EndoC,2.998346125,4.53E-13
Cystm1,EndoC,0.953415555,4.72E-13
Top1,EndoC,0.54359113,4.81E-13
Prkn,EndoC,0.819193625,5.34E-13
Pqlc3,EndoC,2.045536521,5.83E-13
Tsc22d3,EndoC,0.685412245,6.19E-13
Gm12840,EndoC,2.241368897,6.76E-13
Gucy1a2,EndoC,1.722090525,7.52E-13
Nfkbiz,EndoC,0.892323813,7.66E-13
Tcf7l2,EndoC,0.492903312,8.28E-13
F2r,EndoC,0.787183606,8.95E-13
Ccdc152,EndoC,1.413684983,9.22E-13
Itih2,EndoC,4.728679588,1.05E-12
Mlph,EndoC,3.461964317,1.20E-12
Nkd1,EndoC,1.735150932,1.22E-12
Gm48321,EndoC,4.394104686,1.29E-12
Efnb2,EndoC,0.450271481,1.34E-12
Sirpa,EndoC,0.994648028,1.34E-12
Olfml2a,EndoC,2.333772231,1.53E-12
Fhit,EndoC,1.577238631,1.55E-12
Ldah,EndoC,0.760041678,1.60E-12
Ctsz,EndoC,0.773615036,1.92E-12
4930594M22Rik.1,EndoC,4.582849642,2.19E-12
Abca9,EndoC,1.928530951,2.19E-12
Por,EndoC,0.955132179,2.26E-12
Gramd3,EndoC,1.146084546,2.38E-12
Ano2,EndoC,2.190481757,2.44E-12
Snhg18,EndoC,1.529425469,2.44E-12
St3gal4,EndoC,0.768991614,2.92E-12
Phactr2,EndoC,0.680211729,3.51E-12
Rph3al,EndoC,0.867524285,3.79E-12
Stxbp1,EndoC,0.774997728,4.44E-12
Msi2,EndoC,0.467173841,4.68E-12
Bnip2,EndoC,0.593249122,4.73E-12
Camk2d,EndoC,0.444868958,5.07E-12
Mllt3,EndoC,0.715158846,5.07E-12
Sdc4,EndoC,1.785298105,5.14E-12
Ctso,EndoC,0.751322846,5.61E-12
Sp140,EndoC,0.880578325,5.75E-12
Zbtb7c,EndoC,0.957504664,5.99E-12
Clcn3,EndoC,0.45142994,6.14E-12
Crlf3,EndoC,0.660398705,6.23E-12
Ankrd33b,EndoC,0.984666768,6.71E-12
Tgoln1,EndoC,0.628402457,6.90E-12
Sdad1,EndoC,1.207112362,7.58E-12
Krt80,EndoC,3.132790668,7.85E-12
Sfxn3,EndoC,0.942310123,8.08E-12
Inpp4b,EndoC,1.168000934,8.27E-12
Lpcat3,EndoC,0.836187008,8.70E-12
Vps13a,EndoC,0.562108784,8.74E-12
Gm11379,EndoC,7.104548032,9.25E-12
Med12l,EndoC,2.894906247,9.67E-12
Tcn2,EndoC,0.620233079,1.01E-11
Prxl2a,EndoC,2.262930751,1.02E-11
Nectin1,EndoC,2.228683986,1.09E-11
Nr6a1os,EndoC,1.730947648,1.10E-11
Srpr,EndoC,0.551175057,1.11E-11
Bend4,EndoC,2.587838533,1.12E-11
Flot2,EndoC,1.016509702,1.26E-11
Camk1d,EndoC,0.376440369,1.29E-11
Gm33906,EndoC,4.477376361,1.36E-11
Rab3il1,EndoC,1.506453656,1.71E-11
Daam1,EndoC,0.515648014,1.78E-11
Pdxk,EndoC,1.554839957,1.90E-11
Camk2n1,EndoC,1.038963181,1.92E-11
Dusp4,EndoC,4.290553798,2.06E-11
Gm26760,EndoC,1.583065982,2.08E-11
Plxdc2,EndoC,1.419709816,2.24E-11
Emilin1,EndoC,0.909274475,2.27E-11
Calr,EndoC,0.544080331,2.38E-11
Bik,EndoC,1.151466074,2.42E-11
Mill2,EndoC,0.756578402,2.52E-11
Sik3,EndoC,0.479675437,2.93E-11
Atn1,EndoC,0.896226501,3.17E-11
Tceal9,EndoC,0.916138043,3.17E-11
Lgmn,EndoC,0.837783027,3.17E-11
Pmp22,EndoC,0.932027949,3.21E-11
Zfr2,EndoC,1.865056889,3.35E-11
C630043F03Rik,EndoC,1.715775205,3.55E-11
Inafm2,EndoC,1.384339186,3.58E-11
Mcfd2,EndoC,0.988953684,3.63E-11
Ncoa4,EndoC,0.943025593,4.06E-11
Dap,EndoC,0.95286026,4.07E-11
Fam122b,EndoC,1.624122888,4.27E-11
Hdgfl3,EndoC,0.657786305,4.54E-11
Mettl1,EndoC,1.222569769,4.93E-11
Slc37a1,EndoC,2.579395728,4.99E-11
Cracr2b,EndoC,0.631942726,5.02E-11
Shc1,EndoC,0.946985202,5.03E-11
Ppp1r14a,EndoC,1.610161532,5.28E-11
Zbtb38,EndoC,0.655985637,5.36E-11
Sfr1,EndoC,0.820613027,5.66E-11
Ahnak,EndoC,0.457025868,5.79E-11
Ddah2,EndoC,0.758957343,6.47E-11
Dennd4a,EndoC,0.506491363,6.53E-11
Cyb5a,EndoC,0.461446961,7.03E-11
Dstn,EndoC,0.64700538,7.50E-11
Hmgn3,EndoC,1.64942687,8.36E-11
Tceal8,EndoC,1.141301288,9.27E-11
Sh3pxd2b,EndoC,0.96759571,9.30E-11
Anxa11,EndoC,0.582184193,9.71E-11
Nmnat2,EndoC,2.845086706,1.03E-10
Igsf23,EndoC,2.831939616,1.29E-10
Pdia6,EndoC,0.642724806,1.30E-10
Pkn3,EndoC,0.906224191,1.37E-10
Dzip3,EndoC,0.835720559,1.45E-10
Slc12a7,EndoC,0.666414632,1.52E-10
Add3,EndoC,0.518201461,1.62E-10
Abca1,EndoC,0.500641588,1.85E-10
Arsj,EndoC,2.197556781,1.85E-10
Ergic2,EndoC,0.936238421,1.86E-10
Bex3,EndoC,1.340883228,1.95E-10
Ctsk,EndoC,2.013515292,2.13E-10
Rftn2,EndoC,1.322240912,2.27E-10
Icam1,EndoC,0.48512596,2.40E-10
Fam173a,EndoC,0.819904176,2.43E-10
Ppp4r2,EndoC,0.508701024,2.51E-10
Akap11,EndoC,0.539416618,2.66E-10
Ttpa,EndoC,2.407386888,2.81E-10
Srebf1,EndoC,1.014158373,2.81E-10
Spats2l,EndoC,0.738585741,2.87E-10
Eml4,EndoC,0.524529463,3.38E-10
Npdc1,EndoC,0.668265934,3.48E-10
Nrbp2,EndoC,1.272675086,3.57E-10
Smtnl2,EndoC,1.172911493,3.60E-10
Scmh1,EndoC,0.495905616,3.68E-10
Luc7l2,EndoC,0.405012115,3.78E-10
Sulf2,EndoC,1.52401976,4.12E-10
Snx7,EndoC,0.716085849,4.44E-10
Csrp1,EndoC,0.537184911,4.56E-10
Cldn12,EndoC,1.097858165,5.60E-10
Prdm11,EndoC,1.147451385,5.90E-10
Rab5if,EndoC,0.697289855,6.01E-10
March3,EndoC,0.630586881,6.14E-10
Marveld2,EndoC,2.784173591,6.23E-10
Zfyve21,EndoC,0.858417734,7.39E-10
Klf2,EndoC,0.586367688,7.83E-10
Ccdc157,EndoC,0.936086881,7.93E-10
Erich2,EndoC,2.112416347,8.02E-10
Traf3ip2,EndoC,1.162078513,8.08E-10
Snta1,EndoC,0.915332879,9.11E-10
Prkag2,EndoC,0.494892616,9.16E-10
Spats2,EndoC,1.074163352,9.52E-10
Gpx1,EndoC,0.714206685,9.59E-10
Lrp3,EndoC,1.720390841,1.19E-09
Zc3hav1l,EndoC,1.789442847,1.20E-09
Sox5os3,EndoC,4.807754437,1.21E-09
Rab11a,EndoC,0.416276359,1.22E-09
Mrvi1,EndoC,1.809898056,1.29E-09
Fzd3,EndoC,1.743751528,1.30E-09
Hecw1,EndoC,3.054166458,1.40E-09
Nfix,EndoC,0.520277521,1.40E-09
Tm6sf2,EndoC,2.253691878,1.47E-09
Irf2bp2,EndoC,0.522918233,1.47E-09
Pttg1ip,EndoC,0.532911564,1.48E-09
Fn1,EndoC,0.622389165,1.51E-09
2200002D01Rik,EndoC,1.349767762,1.57E-09
Scml4,EndoC,2.446709495,1.63E-09
Tlr4,EndoC,0.804398952,1.65E-09
Sec62,EndoC,0.389824157,1.67E-09
Cpt1c,EndoC,1.621136211,1.69E-09
Tpcn1,EndoC,0.644318519,1.73E-09
Pcgf5,EndoC,0.784250513,1.73E-09
Hspa4l,EndoC,0.795956311,1.74E-09
Ppp2r3a,EndoC,0.525411071,1.75E-09
Sorbs2,EndoC,0.455580169,1.77E-09
Gfpt1,EndoC,0.936522212,1.84E-09
Angptl2,EndoC,1.306105,1.90E-09
Prelp,EndoC,0.802470224,2.10E-09
Gm4221,EndoC,1.588914218,2.16E-09
Iqgap1,EndoC,0.410443251,2.30E-09
Lonrf3,EndoC,3.19885111,2.33E-09
Amot,EndoC,1.360218615,2.42E-09
Tppp3,EndoC,1.434228763,2.59E-09
Synrg,EndoC,0.491385765,2.59E-09
Capn6,EndoC,3.828534273,2.80E-09
Tnxb,EndoC,0.683951512,2.84E-09
Zmiz1,EndoC,0.49257075,3.03E-09
Senp6,EndoC,0.392564122,3.11E-09
Pdlim4,EndoC,1.108204763,3.12E-09
Klhdc8b,EndoC,1.003954054,3.21E-09
Snx33,EndoC,1.285586816,3.24E-09
Nedd4,EndoC,0.364730685,3.49E-09
Serpine2,EndoC,1.194836904,3.65E-09
Igf2r,EndoC,0.498866849,4.28E-09
Malat1,EndoC,0.19263923,4.29E-09
Xbp1,EndoC,0.627627533,4.49E-09
Iqub,EndoC,4.501307542,4.56E-09
Cdc25b,EndoC,1.419725026,4.78E-09
Col25a1,EndoC,1.639890968,5.06E-09
Eml5,EndoC,1.267180751,5.16E-09
Ncor2,EndoC,0.645630421,5.29E-09
Rcn2,EndoC,0.52373711,5.29E-09
Zfp467,EndoC,0.94104436,5.34E-09
Cgn,EndoC,5.614216756,6.02E-09
Actn1,EndoC,0.727975606,6.04E-09
Gnl3l,EndoC,0.686104592,6.27E-09
P4hb,EndoC,0.442553991,6.28E-09
Ptger1,EndoC,2.184516604,6.41E-09
Thbd,EndoC,0.508139304,6.67E-09
Ctps,EndoC,0.932580668,6.99E-09
Tmem56,EndoC,2.241061752,7.05E-09
Mxra8,EndoC,0.943711805,7.56E-09
Atp1b1,EndoC,0.836832914,7.96E-09
Ugp2,EndoC,0.47956224,8.45E-09
Tvp23b,EndoC,0.66600315,8.53E-09
Pcyox1,EndoC,0.900714896,8.58E-09
Sdf4,EndoC,0.634570366,8.61E-09
Ahi1,EndoC,1.234212015,8.63E-09
Sec31a,EndoC,0.512360777,8.81E-09
Il15ra,EndoC,0.722004033,9.22E-09
B3gnt8,EndoC,1.419235026,9.74E-09
Capn2,EndoC,0.448753994,9.78E-09
P4ha2,EndoC,0.493251953,9.83E-09
Scd1,EndoC,1.950719684,9.97E-09
Phc3,EndoC,0.455986365,1.01E-08
Madd,EndoC,0.619852736,1.01E-08
Gpat3,EndoC,1.392885982,1.02E-08
Rara,EndoC,0.951765529,1.02E-08
Spock2,EndoC,0.965547541,1.02E-08
Snx5,EndoC,0.71509121,1.03E-08
Tacc1,EndoC,0.496402565,1.07E-08
Crtap,EndoC,0.754642246,1.08E-08
Tubb4b,EndoC,0.488463892,1.12E-08
Prdm5,EndoC,0.764579835,1.18E-08
Epb41l2,EndoC,0.524167535,1.26E-08
Tns2,EndoC,0.468941057,1.32E-08
Tead1,EndoC,0.502889482,1.35E-08
Mknk2,EndoC,0.68605537,1.35E-08
Plxnb2,EndoC,0.945350247,1.40E-08
Stard10,EndoC,1.645532726,1.41E-08
Ppib,EndoC,0.419170614,1.50E-08
Rapgef5,EndoC,0.385676202,1.56E-08
Steap3,EndoC,1.49980024,1.63E-08
Stk26,EndoC,2.508443589,1.68E-08
Ttc3,EndoC,0.385592712,1.85E-08
Prrt4,EndoC,1.126815973,1.87E-08
Akap9,EndoC,0.368461352,1.97E-08
Lama2,EndoC,1.34636286,2.01E-08
Ldb1,EndoC,0.59710419,2.09E-08
G3bp2,EndoC,0.49000884,2.11E-08
Eef2k,EndoC,0.735881829,2.13E-08
Slc44a1,EndoC,0.46176697,2.19E-08
Sat1,EndoC,0.516443292,2.29E-08
Dync2h1,EndoC,1.076844795,2.31E-08
Ackr3,EndoC,0.737240019,2.39E-08
Dctn6,EndoC,0.68370169,2.41E-08
Efhd2,EndoC,0.866700505,2.52E-08
Ywhab,EndoC,0.427652136,2.61E-08
Grk3,EndoC,1.802825677,2.71E-08
Lman1,EndoC,0.611480046,2.76E-08
Wnt9b,EndoC,2.657094203,2.82E-08
Zfpm1,EndoC,0.70166811,2.83E-08
Prrc1,EndoC,0.587851709,2.84E-08
Sil1,EndoC,0.742568221,3.05E-08
Zfp976,EndoC,1.296421379,3.10E-08
Asb1,EndoC,1.182968199,3.25E-08
Chst12,EndoC,1.090007017,3.30E-08
Atp11a,EndoC,0.619954131,3.30E-08
Gm11146,EndoC,3.323329403,3.35E-08
Fkbp7,EndoC,0.94409932,3.43E-08
Mapk12,EndoC,0.461043054,3.46E-08
Adamts17,EndoC,1.259192895,3.61E-08
Apcdd1,EndoC,2.209153379,3.73E-08
Ndn,EndoC,1.313079663,3.87E-08
Snhg14,EndoC,1.321243297,4.04E-08
Tmem205,EndoC,0.56134177,4.10E-08
Ank,EndoC,0.601133888,4.73E-08
Ginm1,EndoC,0.604616745,4.92E-08
Dalrd3,EndoC,0.629238407,5.01E-08
Arl1,EndoC,0.669675745,5.10E-08
Gse1,EndoC,0.566246777,5.21E-08
Gm36723,EndoC,3.874875291,5.25E-08
Atpif1,EndoC,0.392927211,5.66E-08
Clint1,EndoC,0.484328113,6.01E-08
Tgfb2,EndoC,1.382545816,6.04E-08
Cers6,EndoC,0.738337068,6.66E-08
Plec,EndoC,0.561513529,6.81E-08
Fam13a,EndoC,1.616766246,6.91E-08
Rem1,EndoC,1.205969239,7.03E-08
Slco2a1,EndoC,0.592354778,7.10E-08
Qsox1,EndoC,0.712425428,8.16E-08
Cenpt,EndoC,0.927595831,8.37E-08
Desi2,EndoC,0.486799526,8.89E-08
Slc7a6,EndoC,1.361431525,8.91E-08
Ikbke,EndoC,1.66311636,8.99E-08
Fam222b,EndoC,0.482185085,1.01E-07
Fndc3a,EndoC,0.446642256,1.08E-07
