Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
B3gnt5,SMC,5.409882845568877,9.671588017323761e-9
Fat1,SMC,1.4496250031758828,1.198363566861231e-8
Pdgfb,SMC,2.280190020324598,1.2358319047514528e-8
Bcam,SMC,1.5283066932162161,1.3292917562002888e-8
Lgr6,SMC,3.310040995244726,1.622613332803434e-8
Gipc2,SMC,3.498381054738249,1.6798728201352625e-8
Itgb4,SMC,3.644943976090514,1.6808232414781322e-8
Ppp1r14a,SMC,1.7027879855324897,1.6910984422479613e-8
Wwp2,SMC,1.570935371326803,2.044134007056379e-8
Mtmr7,SMC,2.4702222181786997,2.2037665386227834e-8
Chmp4c,SMC,2.7124033702153483,2.3151115587133484e-8
Cbx6,SMC,1.420519192546792,2.426486799921273e-8
Cacna1g,SMC,3.9289594583301586,2.4678064389078915e-8
Smim5,SMC,3.286347806,2.4929979676510325e-8
Perp,SMC,2.343696521075344,2.5599953219778497e-08
Unc5c,SMC,3.7486945407305505,2.728684564549435e-8
Crip1,SMC,1.5695526838582443,2.782809109151388e-8
Mmd,SMC,2.226751111530046,4.2963480042703126e-8
Lbh,SMC,1.420591558653265,4.7673246838167614e-8
Gm47271,SMC,4.249016565050844,4.8368204484832526e-8
Gm36723,SMC,4.144698388,4.8368204484832526e-8
Id4,SMC,3.7175401416230645,5.039785997695909e-8
Hbegf,SMC,2.400734976189643,6.971252307780809e-8
Lims2,SMC,2.135763708,7.168441330854383e-8
Chn2,SMC,3.267594379148428,8.14630680849101e-8
Dhrs3,SMC,1.6718095351256648,9.0681224602381e-8
Syne1,SMC,1.4086071330095158,9.617490268849903e-8
A730004F24Rik,SMC,7.440752546,1.003217852975407e-7
Insc,SMC,7.4305627572561015,1.003217852975407e-7
Gm47766,SMC,7.029130464166304,1.003217852975407e-7
Gm48633,SMC,6.995161086286636,1.003217852975407e-7
Fbxw18,SMC,6.942587176471085,1.003217852975407e-7
Ticam2,SMC,6.893956748106555,1.003217852975407e-7
Gm44737,SMC,6.851939277585716,1.003217852975407e-7
Gm36107,SMC,6.843301733425855,1.003217852975407e-7
Gm49282,SMC,6.786910857813907,1.003217852975407e-7
Gm32817,SMC,6.705886015917885,1.003217852975407e-7
B230104I21Rik,SMC,6.055005459087949,1.003217852975407e-7
Atp2a3,SMC,2.077441670121003,1.0470109458732651e-7
Lrch1,SMC,1.4365069839394884,1.2383519277331157e-7
Lox,SMC,2.3776100236503144,1.2926887455957327e-7
Col14a1,SMC,2.156338328,1.3124045191567837e-7
Pde3a,SMC,1.1457579052529954,1.3277382208141682e-7
Ddo,SMC,3.2674551455281016,1.4009586350942697e-7
Olfml2b,SMC,1.8857381507320654,1.457770946681199e-7
Timp1,SMC,2.6025430105818113,1.5371756267401053e-7
Slc5a3,SMC,2.1110997052610267,2.477437152043006e-7
Abhd2,SMC,1.5496163111972017,2.9345965320562397e-7
Fas,SMC,2.544364885557494,3.244918331672814e-7
Cdh13,SMC,2.580954886976154,3.752624258883258e-7
Itga4,SMC,2.8326167042436943,3.835893244673193e-7
Cdc42ep3,SMC,1.9459098514625046,4.4298236431285407e-7
Isyna1,SMC,1.923862127,4.4827675752219547e-7
Ttc8,SMC,1.8032833980709366,4.873262060920572e-7
Slc2a10,SMC,3.6767104842228564,4.976832846847624e-7
Stk26,SMC,4.312660066612638,5.751626523618511e-7
4930428E07Rik,SMC,3.2371337345428266,6.435337345952996e-7
Kif5c,SMC,4.761065578232213,6.839487380949476e-7
Adcy5,SMC,1.5808223474854222,7.029372387837352e-7
Pls3,SMC,1.5354986259002144,7.956292058065054e-7
Usp2,SMC,1.7877912559547002,8.28424381821925e-7
Ncf2,SMC,2.3454865396113735,8.32468295532281e-7
Tmtc1,SMC,1.9861778460813566,8.431732185311043e-7
Pdzrn3,SMC,2.3000314542705387,8.456047678387448e-7
Pmepa1,SMC,1.5136970524840976,8.94954349701051e-7
Gpc4,SMC,2.096516451131232,9.181876456353664e-7
Gm26621,SMC,2.6183603951540135,1.023798541979754e-6
Inhba,SMC,2.66740278,1.0631551819899253e-6
Ttc23,SMC,1.446077725550913,1.0657429417979587e-6
Crim1,SMC,1.7797176554781688,1.584301791391573e-6
Tnfrsf11a,SMC,3.199984524482867,1.5972593256244775e-6
Gm15581,SMC,2.7804131887228127,1.9521288759330366e-6
Cavin3,SMC,1.5704084056555785,2.4571926440440952e-6
Ntn4,SMC,1.300361952476134,2.7055995958308986e-6
Actr3b,SMC,2.240459383350462,2.935649775627682e-6
Zfhx3,SMC,1.1838253511918717,3.333811740098148e-6
Gm20647,SMC,5.969528229,3.786219533589961e-6
A530046M15Rik,SMC,5.462688708811975,3.786219533589961e-6
Plpp1,SMC,2.086750071958158,3.8018748719097887e-6
Ly9,SMC,4.932132760158305,3.839250717964029e-6
Wdr95,SMC,4.298294964467933,3.893007589182247e-6
Mettl24,SMC,4.552449621586714,3.947499833263791e-6
Magi1,SMC,1.7731657279451816,3.9624398723734375e-6
Zc2hc1c,SMC,4.288320558943502,4.002737262087583e-6
Nrg4,SMC,3.869748929246049,4.002737262087583e-6
Mfng,SMC,3.4065013996836413,4.002737262087583e-6
Pitpnm3,SMC,2.398534038173992,4.517821707639805e-6
Vwa3a,SMC,3.468322380549788,4.551518475429093e-6
Pdgfc,SMC,4.378381957402873,4.601307259828829e-6
Map3k20,SMC,1.1756752955513432,4.607422977021243e-6
Zfp429,SMC,3.1090058863459165,4.681425027838603e-6
Pcsk1,SMC,3.766208532483972,4.971483103052885e-6
Zfhx2,SMC,3.880687407142366,5.014367364694804e-6
Fmn2,SMC,2.7618905143481522,5.042320971440778e-6
Htr2a,SMC,3.419975689336864,5.057612980421389e-6
Afap1,SMC,1.2773260068595103,5.066111528382981e-6
Iqgap1,SMC,1.1715034976574683,5.225736994155613e-6
Gm50445,SMC,2.4986805347589978,5.70270066080277e-6
